name,lat,lng
(Chabahil) The Burger House And Crunchy Fried Chicken,27.7191801,85.3480456
The Burger House and Crunchy Fried Chicken Kapan Branch,27.7272241,85.3564988
The Burger House 'N' Crunchy Fried Chicken,27.7051632,85.3286974
The Burger House %26 Crunchy Fried Chicken,27.6979607,85.3379155
The Burger House And Crunchy Fried Chicken,27.7369471,85.3239314
The Burger House and Crunchy Fried Chicken Magarajgunj,27.7391325,85.33937
The Burger House and Crunchy Fried Chicken,27.735334,85.315444
The Burger House and Crunchy Fried Chicken,27.7213048,85.3682852
The Burger House and Crunchy Fried Chicken,27.7241798,85.3399848
The Burger house and crunchy fried chicken - Sinamangal,27.6951979,85.3546117
The Burger House %26 Crunchy Fried Chicken,27.7031225,85.3409609
"The Burger House and Crunchy Fried Chicken(Boudha,pipalbot)",27.7206212,85.3636088
The Burger House %26 Crunchy Fried Chicken,27.6857224,85.3350525
The Burger House And Crunchy Fried Chicken( Kadaghari khasimod),27.6974415,85.3707804
"The Burger House And Crunchy Fried Chicken, Atma Gyan, Samakhusi, Kathmandu",27.7301745,85.3146663
"The Burger House And Crunchy Fried Chicken, Sukedhara",27.7299492,85.3479204
The Burger House and Crunchy Fried Chicken,27.6910128,85.3653673
The Burger House and Crunchy Fried Chicken-kuleshwor,27.6914383,85.2990455
The Burger House and Crunchy Fried Chicken-Jalpa Chowk,27.7470763,85.3174871
